Metric,Random,Majority,Class ratio,Gaussian NB,XGBoost
acc.,0.51434257919009,0.804348301747063,0.6792279597401286,0.7309295788871311,0.7706979836402195
ap,0.804348301747063,0.804348301747063,0.8021902250674087,0.8201941595587344,0.8270482627663827
auroc,0.5,0.5,0.49280025137817285,0.5158054517256883,0.5428296994018579
bacc.,0.5132785190211079,0.5,0.49280025137817285,0.5049828702071428,0.5012887401847038
f1,0.5640310307916969,0.7171303132014428,0.679989053498082,0.7070380480364176,0.715946429189525
